row,text,parsed_dates,first_date
1,"The event will take place on March 5, 2023.",05/03/2023,05/03/2023
2,Her birthday is on 07/08/1990.,07/08/1990,07/08/1990
3,The deadline is 2022-12-31.,31/12/2022,31/12/2022
4,We met on 1st of January 2000.,01/01/2000,01/01/2000
5,"The concert is scheduled for 15th September, 2021.",15/09/2021,15/09/2021
6,Let's catch up on 02.04.2022.,02/04/2022,02/04/2022
7,The project started on 5/6/19.,06/05/2019,06/05/2019
8,He was born on 1987/11/23.,23/11/1987,23/11/1987
9,Christmas is on 25th Dec 2024.,25/12/2024,25/12/2024
10,"The meeting is set for April 03, 2020.",03/04/2020,03/04/2020
11,"Her birthdate, noted as 1997-05-20, is in the records.",20/05/1997,20/05/1997
12,"Her appointment is on the 2nd of March, 2021.",01/01/2021,01/01/2021
13,The exam date is 2021.11.10.,10/11/2021,10/11/2021
14,They got married on 12/12/12.,12/12/2012,12/12/2012
15,"The workshop is on February 15th, 2022.",15/02/2022,15/02/2022
16,Submit your report by 08/31/2021.,01/01/2021,01/01/2021
17,The course starts on 1st July 2023.,01/07/2023,01/07/2023
18,"Independence Day is on 4th of July, 2022.",01/01/2022,01/01/2022
19,His birthday is 1995/10/30.,30/10/1995,30/10/1995
20,The new year begins on 01-01-2023.,01/01/2023,01/01/2023
21,The seminar is on 03/14/2022.,01/01/2022,01/01/2022
22,My last day is 31.08.2020.,31/08/2020,31/08/2020
23,The due date is 2020-02-28.,28/02/2020,28/02/2020
24,"The holiday starts on Dec 20th, 2021.",01/01/2021,01/01/2021
25,The conference will be held on 5th May 2023.,05/05/2023,05/05/2023
26,They moved in on 12/25/2019.,01/01/2019,01/01/2019
27,"The festival begins on March 17, 2022.",17/03/2022,17/03/2022
28,The ceremony is on 11.11.2021.,11/11/2021,11/11/2021
29,The event is on 2023/07/04.,04/07/2023,04/07/2023
30,"Her graduation is on May 30th, 2022.",30/05/2022,30/05/2022
31,The release date is 2021-09-09.,09/09/2021,09/09/2021
32,The interview is on 1/2/2022.,01/02/2022,01/02/2022
33,The celebration is on 2022-10-10.,10/10/2022,10/10/2022
34,"His wedding is on 6th of August, 2020.",01/01/2020,01/01/2020
35,She was born on 3rd March 1998.,03/03/1998,03/03/1998
36,The opening is on 10/10/2018.,10/10/2018,10/10/2018
37,The deadline is 2020.12.15.,15/12/2020,15/12/2020
38,The party is on 31-12-2022.,31/12/2022,31/12/2022
